state,party,termstart,age
tx,d,1947-01-03,85.9
nc,d,1947-01-03,83.2
il,d,1947-01-03,80.7
nj,r,1947-01-03,78.8
ky,r,1947-01-03,78.3
pa,r,1947-01-03,78
ca,r,1947-01-03,77.9
ny,d,1947-01-03,76.8
wi,r,1947-01-03,76
ma,r,1947-01-03,75.8
va,d,1947-01-03,74.7
ky,r,1947-01-03,74
in,d,1947-01-03,73.5
nc,d,1947-01-03,73
oh,d,1947-01-03,72.6
ca,d,1947-01-03,72.5
wv,d,1947-01-03,72.4
ky,d,1947-01-03,72
or,r,1947-01-03,72
nj,d,1947-01-03,71.8
vt,r,1947-01-03,71.7
va,d,1947-01-03,71.6
mi,r,1947-01-03,71.3
ny,r,1947-01-03,71.3
ny,d,1947-01-03,70.8
mi,r,1947-01-03,70.8
mi,r,1947-01-03,70.3
mi,r,1947-01-03,70.1
mi,r,1947-01-03,69.6
oh,r,1947-01-03,69.5
ny,r,1947-01-03,69.4
il,d,1947-01-03,68.7
ms,d,1947-01-03,68.7
nd,r,1947-01-03,68.4
ny,d,1947-01-03,68.4
il,r,1947-01-03,68.2
mo,d,1947-01-03,67.7
tx,d,1947-01-03,67.6
mo,r,1947-01-03,67.3
ga,d,1947-01-03,66.8
ga,d,1947-01-03,66.7
ny,r,1947-01-03,66.7
tn,r,1947-01-03,66.6
pa,r,1947-01-03,66.5
pa,r,1947-01-03,66.4
in,r,1947-01-03,66.4
il,r,1947-01-03,66.2
mn,r,1947-01-03,66.2
nj,r,1947-01-03,66.2
oh,r,1947-01-03,66.2
nc,d,1947-01-03,66
mo,d,1947-01-03,66
ma,r,1947-01-03,65.9
il,r,1947-01-03,65.9
ma,r,1947-01-03,65.8
oh,r,1947-01-03,65.2
tx,d,1947-01-03,65
wa,r,1947-01-03,64.8
ms,d,1947-01-03,64.8
nc,d,1947-01-03,64.7
in,r,1947-01-03,64.7
il,r,1947-01-03,64.5
ca,d,1947-01-03,64.3
va,d,1947-01-03,63.9
nc,d,1947-01-03,63.7
il,r,1947-01-03,63.7
pa,r,1947-01-03,63.5
pa,d,1947-01-03,63.5
ga,d,1947-01-03,63.1
mi,r,1947-01-03,63
pa,r,1947-01-03,63
ne,r,1947-01-03,62.8
ny,r,1947-01-03,62.8
mi,r,1947-01-03,62.7
ca,r,1947-01-03,62.5
oh,r,1947-01-03,62.4
nc,d,1947-01-03,62.3
ma,r,1947-01-03,62.2
mi,d,1947-01-03,62
ca,d,1947-01-03,62
mo,d,1947-01-03,62
nj,r,1947-01-03,62
ga,d,1947-01-03,61.9
va,d,1947-01-03,61.9
al,d,1947-01-03,61.9
oh,r,1947-01-03,61.8
az,d,1947-01-03,61.7
ny,r,1947-01-03,61.7
pa,r,1947-01-03,61.6
oh,r,1947-01-03,61.4
id,r,1947-01-03,61.3
il,r,1947-01-03,61
co,r,1947-01-03,61
co,r,1947-01-03,60.9
il,d,1947-01-03,60.7
ks,r,1947-01-03,60.6
ok,r,1947-01-03,60.4
fl,d,1947-01-03,60.4
ks,r,1947-01-03,60.3
il,d,1947-01-03,60.2
oh,d,1947-01-03,60.1
va,d,1947-01-03,60.1
oh,r,1947-01-03,59.9
ia,r,1947-01-03,59.6
ny,r,1947-01-03,59.5
wv,r,1947-01-03,59.5
in,r,1947-01-03,59.4
ca,r,1947-01-03,59.3
wi,r,1947-01-03,59.3
pa,r,1947-01-03,59.3
al,d,1947-01-03,59.2
wi,r,1947-01-03,59.2
mi,r,1947-01-03,59
ny,d,1947-01-03,58.8
ca,r,1947-01-03,58.7
mi,r,1947-01-03,58.7
ny,d,1947-01-03,58.7
tx,d,1947-01-03,58.5
ma,r,1947-01-03,58.4
pa,r,1947-01-03,58.4
ga,d,1947-01-03,58.3
ut,d,1947-01-03,58.2
pa,r,1947-01-03,58.2
ny,d,1947-01-03,58.1
ny,r,1947-01-03,57.6
tx,d,1947-01-03,57.5
ny,r,1947-01-03,57.5
pa,r,1947-01-03,57.4
nd,r,1947-01-03,57.3
tn,d,1947-01-03,57.3
mt,r,1947-01-03,57.3
ia,r,1947-01-03,57.2
me,r,1947-01-03,57.2
ny,r,1947-01-03,57.1
me,r,1947-01-03,57.1
ms,d,1947-01-03,56.9
ca,r,1947-01-03,56.6
il,r,1947-01-03,56.6
ia,r,1947-01-03,56.6
ny,d,1947-01-03,56.5
il,r,1947-01-03,56.5
la,d,1947-01-03,56.5
va,d,1947-01-03,56.5
nj,r,1947-01-03,56.4
ma,r,1947-01-03,56.3
mn,r,1947-01-03,56.2
